URL,Type,Region,Service,Initial Status,Retry Status,Final Status,Redirect URL,Error Type,Remarks
"https://www.moduclean.co.kr/seoul/guro-gu/flood-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/guro-gu/building-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/guro-gu/warehouse-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/window-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/guro-gu/hospital-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/exterior-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/fire-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/floor-wax-coating","district","seoul","","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/awning-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/signboard-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/completion-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/interior-post-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/hood-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/hoarder-house-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/special-cleaning","district","seoul","special-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/floor-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/move-in-cleaning","district","seoul","move-in-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/store-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/moving-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/office-cleaning","district","seoul","office-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/factory-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/building-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/flood-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/warehouse-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/geumcheon-gu/hospital-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/exterior-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/fire-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/floor-wax-coating","district","seoul","","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/window-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/awning-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/signboard-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/interior-post-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/completion-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/hood-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/hoarder-house-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/special-cleaning","district","seoul","special-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/floor-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/move-in-cleaning","district","seoul","move-in-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/moving-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/office-cleaning","district","seoul","office-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/store-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/factory-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/building-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/flood-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/warehouse-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/yeongdeungpo-gu/hospital-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/exterior-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/fire-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/window-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/floor-wax-coating","district","seoul","","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/interior-post-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/signboard-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/awning-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/completion-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/hoarder-house-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/hood-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/special-cleaning","district","seoul","special-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/floor-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/moving-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/move-in-cleaning","district","seoul","move-in-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/office-cleaning","district","seoul","office-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/store-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/factory-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/building-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/warehouse-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/exterior-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/hospital-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/dongjak-gu/flood-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/window-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/fire-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/floor-wax-coating","district","seoul","","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/signboard-cleaning","district","seoul","cleaning","200","","200","","",""
